rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss
21.87,13,113,4311,57856,8.20796283,0.034375,0.2,0.39953523874282837,0.0024258061,-0.5495888788253069,1120,-0.0028949718456715346,0.0005,5.842438831925392,3.187504291534424
21.38,13,114,4343,58368,8.121795670000001,0.069140625,0.2,0.23311060667037964,0.0016519848,-0.6147773087024688,1130,-0.0026105533819645644,0.0005,8.54013524055481,3.2188169956207275
21.21,13,115,4378,58880,8.02994215,0.046875,0.2,0.47924691438674927,0.0030426807,-0.5165704142302274,1140,-0.003891067346557975,0.0005,6.165072548389435,2.189089775085449
22.27,13,116,4415,59392,8.45774591,0.0494140625,0.2,0.40536975860595703,0.0017125469,-0.5734192091971636,1150,-0.004063975519966334,0.0005,5.711831718683243,2.601686477661133
22.81,13,117,4450,59904,8.635950209999999,0.0310546875,0.2,0.508820652961731,0.0013240761,-0.6166965022683144,1160,-0.0014548872713930905,0.0005,5.885994693636894,1.8767054080963135
22.57,13,118,4487,60416,8.50550928,0.021484375,0.2,0.36011987924575806,0.0044946363,-0.657436016947031,1170,7.06376857124269e-05,0.0005,6.270790213346482,3.334944725036621
23.44,13,119,4525,60928,8.783392500000001,0.128515625,0.2,0.3130066990852356,0.0058382917,-0.6576440885663033,1180,-0.012045970081817358,0.0005,5.083530884981156,2.6269867420196533
21.51,13,120,4566,61440,7.92076506,0.0591796875,0.2,0.30020833015441895,0.003186687,-0.6654170326888561,1190,-0.003938718093559146,0.0005,5.597439187765121,3.213176727294922
22.56,13,121,4603,61952,8.36964635,0.0771484375,0.2,0.30913835763931274,0.007483764,-0.57264149710536,1200,-0.00540447497041896,0.0005,6.214988896250725,2.241405963897705
21.4,13,122,4638,62464,7.80034314,0.029296875,0.2,0.5983104109764099,0.0012647228,-0.5208322834223509,1210,-0.002876721858046949,0.0005,5.0286402016878124,2.1118340492248535
20.4,13,123,4675,62976,7.34356349,0.05078125,0.2,0.2766111493110657,0.006741889,-0.6347846649587154,1220,-0.002744452585466206,0.0005,5.770959010720253,2.241664409637451
20.29,13,124,4710,63488,7.25986297,0.0923828125,0.2,0.37346071004867554,0.0066912416,-0.5492786422371865,1230,-0.005515203822869808,0.0005,6.485342383384705,2.521662950515747
19.47,13,125,4746,64000,7.041431329999999,0.0326171875,0.2,0.20448291301727295,0.0027464805,-0.5868989385664463,1240,-0.0018593789427541196,0.0005,6.333938181400299,2.463026762008667
20.6,13,126,4787,64512,7.57939997,0.0228515625,0.2,0.41307002305984497,0.00051896914,-0.5452230777591467,1250,-0.0013992320222314448,0.0005,7.968516951799392,3.7580292224884033
19.86,13,127,4826,65024,7.3066309600000015,0.062890625,0.2,0.22094416618347168,0.0016281964,-0.4852378398180008,1260,-0.005404471443034709,0.0005,4.4566985160112385,1.7527083158493042
19.47,13,128,4861,65536,7.2254749700000005,0.0181640625,0.2,0.35222387313842773,0.0017541121,-0.5255096010863781,1270,-5.36590232513845e-05,0.0005,4.203205835819245,1.61655855178833
18.46,13,129,4898,66048,6.738695639999999,0.0802734375,0.2,0.31057214736938477,0.0031906515,-0.5486559085547924,1280,-0.005548533063847572,0.0005,5.003529959917069,2.03999400138855
19.31,13,130,4934,66560,7.124187409999998,0.0279296875,0.2,0.1817968487739563,0.0016003286,-0.5498556591570377,1290,-0.0017976585135329516,0.0005,6.054472187161446,3.5242388248443604
21.34,13,131,4971,67072,7.94792249,0.0255859375,0.2,0.3579506278038025,0.0024342206,-0.5397240214049817,1300,-0.001932481356197968,0.0005,5.815892228484154,3.410661458969116
20.89,13,132,5008,67584,7.74582996,0.046484375,0.2,0.41542983055114746,0.0013354738,-0.5636007755994796,1310,-0.002503821346908808,0.0005,6.631210619211197,2.317751169204712
